name;sex;Birthday;Country;age;today;dd
4 Ever Coon A Nice Surprice;F;21.04.2007;DK/DK;16;01.01.2023;
A Black Angel de Khat A Strof;F;;FR/FR;123;01.01.2023;
A Cappella Bystra;F;;PL/PL;123;01.01.2023;
A Carmen of Daabeckcoon;F;30.06.2022;DK/NL;1;01.01.2023;
A Catorama Reddy;F;29.05.2007;US/-;16;01.01.2023;
A Davina Annie;F;12.10.2006;AT/AT;16;01.01.2023;
A Davina Enjoy;F;05.05.2009;AT/AT;14;01.01.2023;
A Davina High Society;F;19.11.2010;AT/AT;12;01.01.2023;
A Davina It's All About Me;F;01.01.2011;AT/DE;12;01.01.2023;
A Davina Itsy Bitsy;F;01.01.2011;AT/AT;12;01.01.2023;
A Famous Angie Cat;F;;AT/AT;123;01.01.2023;
A Famous Funny Cindy;F;;IT/IT;123;01.01.2023;
A Famous Lilly-Darling;F;;-/IT;123;01.01.2023;
A Famous Sheila E De Luco ad Montem;F;20.04.1989;-/AT;34;01.01.2023;
A Favorite Cat Daisy Duck;F;29.07.1993;AT/AT;29;01.01.2023;
A Favorite Cat Eliza Doolittle;F;;AT/-;123;01.01.2023;
A Favorite Cat Gingin;F;17.07.1996;-/-;26;01.01.2023;
A Favorite Cat Goldie Ann;F;;AT/-;123;01.01.2023;
A Favorite Cat Grizzabella;F;17.07.1996;AT/AT;26;01.01.2023;
A Favorite Cat Hot Indian Summer;F;22.01.1998;AT/AT;25;01.01.2023;
A Favorite Cat Sheila E.;F;;AT/AT;123;01.01.2023;
A Favorite Cat Sheila E.;F;;AT/AT;123;01.01.2023;
A Highlander Coon Anastasia;F;24.04.2007;AT/-;16;01.01.2023;
A Highlander Coon Dancing Queen;F;;AT/AT;123;01.01.2023;
A Highlander Coon Leonie;F;07.04.2010;AT/AT;13;01.01.2023;
A Highlander Coon Santana;F;08.02.2012;AT/AT;11;01.01.2023;
A Highlander Coon Unut;F;17.04.2012;AT/AT;11;01.01.2023;
A Highlander Coon Venezia;F;20.04.2012;AT/AT;11;01.01.2023;
A Highlander Coon Winterflower;F;20.04.2012;AT/AT;11;01.01.2023;
A Irunzabal des Rois d'Antan;F;07.07.2005;FR/FR;17;01.01.2023;
A little Diamond of Gideons Ghostrider;F;;DE/DE;123;01.01.2023;
A Lorelei of Windsor Castle;F;;FR/FR;123;01.01.2023;
A Lucky Charm Gyldenl?ve;F;17.10.2007;DK/DK;15;01.01.2023;
A Lucy The Guardian;F;10.12.2016;IT/FR;6;01.01.2023;
A Million Dollar Charlet;F;16.08.2009;NL/NL;13;01.01.2023;
A New Flame Free;F;14.10.2008;NL/NL;14;01.01.2023;
A Nice Moon Alula;F;16.06.2006;NL/NL;17;01.01.2023;
A Nice Moon Ankaa;F;10.04.2010;NL/NL;13;01.01.2023;
A Nice Moon Cephe?de;F;25.03.2005;NL/-;18;01.01.2023;
A Nice Moon Charming Aurora;F;31.08.2004;NL/NL;18;01.01.2023;
A Nice Moon Maia;F;10.04.2010;NL/NL;13;01.01.2023;
A Nice Moon Meissa;F;25.03.2005;NL/NL;18;01.01.2023;
A Nice Moon Mira;F;25.03.2005;NL/NL;18;01.01.2023;
A Nice Moon Mirimiri;F;13.03.2008;NL/NL;15;01.01.2023;
A Nice Moon Nunki;F;05.02.2007;NL/NL;16;01.01.2023;
A Nice Moon Rana;F;10.04.2010;NL/NL;13;01.01.2023;
A Nice Moon Sedna;F;28.03.2005;NL/NL;18;01.01.2023;
A Nice Moon Sitara;F;06.03.2008;NL/NL;15;01.01.2023;
A Nice Moon Tania;F;16.06.2006;NL/NL;17;01.01.2023;
A Nice Moon Tuputuputu;F;13.03.2008;NL/NL;15;01.01.2023;
A Nice Moon Vesta;F;28.03.2005;NL/NL;18;01.01.2023;
A Nice Surprice Gyldenl?ve;F;17.10.2007;DK/DK;15;01.01.2023;
A Nome Di Que Sera;F;17.10.2004;NL/NL;18;01.01.2023;
A Red Pleasure of Shaggy Coons;F;;LU/PL;123;01.01.2023;
A Silverbell of El Dorado;F;06.04.1994;AT/-;29;01.01.2023;
A Small Miracle Gyldenl?ve;F;17.10.2007;DK/DK;15;01.01.2023;
A Star is Born Faith Attraction;F;;NL/-;123;01.01.2023;
A Star is Born Itchy Bitsy;F;16.02.2005;NL/NL;18;01.01.2023;
A Star is Born Poison Ivy;F;16.02.2005;NL/NL;18;01.01.2023;
A Star is Born Snowcoon Zurine;F;26.07.2007;NL/NL;15;01.01.2023;
A Star is Born Sunshine Ginny;F;28.11.2003;NL/-;19;01.01.2023;
A Star is Born vom Pittental;F;;AT/CZ;123;01.01.2023;
A*Ulybka Vesny;F;01.09.2009;RU/RU;13;01.01.2023;
ABCcats Hemene A Cheyenne Maiden;F;;US/-;123;01.01.2023;
Abenaki's Once in A Blue Moon;F;22.10.2018;FR/FR;4;01.01.2023;
Abenzio's 2 B Proud;F;30.07.2013;NL/NL;9;01.01.2023;
Abenzio's Claim 2 B Fame;F;30.07.2013;NL/NL;9;01.01.2023;
Abenzio's Don't Worry B Happy;F;03.09.2016;NL/NL;6;01.01.2023;
A-Cheyenne vom Nenana-Paradies;F;;DE/DE;123;01.01.2023;
Acoonitum's Once Upon A Time;F;29.12.2017;SE/SE;5;01.01.2023;
Actarus B Lily;F;29.11.2006;FR/-;16;01.01.2023;
Action Cat's A Aphrodite;F;26.07.2003;AT/AT;19;01.01.2023;
Action Cat's A Atlanta;F;17.07.2010;AT/AT;12;01.01.2023;
Action Cat's A Black Pearl;F;27.08.2010;AT/AT;12;01.01.2023;
Action Cat's A Blue Angel;F;12.12.2018;AT/AT;4;01.01.2023;
Action Cat's A Blue Diamond;F;27.08.2010;AT/AT;12;01.01.2023;
Action Cat's A Blue Energy;F;27.08.2010;AT/AT;12;01.01.2023;
Action Cat's A Butterfly;F;12.12.2018;AT/AT;4;01.01.2023;
Action Cat's A Caprice;F;04.01.2011;AT/DE;12;01.01.2023;
Action Cat's A Carmen;F;29.12.2003;AT/AT;19;01.01.2023;
Action Cat's A Crazy Schlumpfine;F;05.03.2019;AT/AT;4;01.01.2023;
Action Cat's A Dark Angel;F;03.10.2004;AT/AT;18;01.01.2023;
Action Cat's A Diva;F;03.10.2004;AT/AT;18;01.01.2023;
Action Cat's A El-Luna;F;02.05.2011;AT/AT;12;01.01.2023;
Action Cat's A Fantasy;F;11.10.2004;AT/AT;18;01.01.2023;
Action Cat's A G'White Orchidee;F;18.07.2011;AT/-;11;01.01.2023;
Action Cat's A I Am Josephine;F;23.07.2005;AT/AT;17;01.01.2023;
Action Cat's A Ibiza;F;25.05.2012;AT/AT;11;01.01.2023;
Action Cat's A Imperia;F;11.05.2020;AT/-;3;01.01.2023;
Action Cat's A Isis;F;25.05.2012;AT/AT;11;01.01.2023;
Action Cat's A Ivy Metal;F;11.05.2020;AT/-;3;01.01.2023;
Action Cat's A Jaana;F;21.12.2012;AT/AT;10;01.01.2023;
Action Cat's A Jamaica Sun;F;21.12.2012;AT/AT;10;01.01.2023;
Action Cat's A Jelsy Lee;F;29.01.2006;AT/AT;17;01.01.2023;
Action Cat's A Just Love;F;21.12.2012;AT/AT;10;01.01.2023;
Action Cat's A Juwel Heart;F;26.05.2020;AT/-;3;01.01.2023;
Action Cat's A Kiss of Illusion;F;12.03.2006;AT/AT;17;01.01.2023;
Action Cat's A Moonlight Lady;F;11.01.2007;AT/AT;16;01.01.2023;
Action Cat's A Noelle;F;05.01.2014;AT/AT;9;01.01.2023;
Action Cat's A Olilly;F;26.08.2007;AT/AT;15;01.01.2023;
Action Cat's A Orchidee;F;26.08.2007;AT/AT;15;01.01.2023;
Action Cat's A Osiris;F;26.08.2007;AT/AT;15;01.01.2023;
Action Cat's A Our Batgirl Isabel;F;25.06.2014;AT/AT;9;01.01.2023;
Action Cat's A Our Black Jewel;F;25.06.2014;AT/AT;9;01.01.2023;
Action Cat's A Our Magic Girl;F;25.06.2014;AT/AT;9;01.01.2023;
Action Cat's A Our Sweet Heart;F;25.06.2014;AT/AT;9;01.01.2023;
Action Cat's A Pandora Blue;F;25.07.2014;AT/AT;8;01.01.2023;
Action Cat's A Pretty Woman;F;29.11.2007;AT/AT;15;01.01.2023;
Action Cat's A Princess Phantasia;F;29.11.2007;AT/AT;15;01.01.2023;
Action Cat's A Rohana;F;26.08.2008;AT/DE;14;01.01.2023;
Action Cat's A Ronja;F;16.09.2015;AT/AT;7;01.01.2023;
Action Cat's A Rose of Love;F;16.09.2015;AT/AT;7;01.01.2023;
Action Cat's A Venus;F;11.07.2009;AT/AT;13;01.01.2023;
Action Cat's A Virginia;F;03.07.2016;AT/AT;7;01.01.2023;
Action Cat's A Viva Venezia;F;03.07.2016;AT/AT;7;01.01.2023;
Action Cat's A Wonderful Fortuna;F;14.06.2017;AT/AT;6;01.01.2023;
Action Cat's A Xenia;F;23.12.2009;AT/AT;13;01.01.2023;
Action Cat's A Xtrem White Diamond;F;21.10.2017;AT/AT;5;01.01.2023;
Action Cat's A Zestful Arthemis;F;14.02.2018;AT/AT;5;01.01.2023;
Adioilo A Dora Bella;F;;GB/GB;123;01.01.2023;
Advent Hill Justin B. Morgan of Beauport;F;09.05.1991;-/-;32;01.01.2023;
Aestheticoons' Be-Bop-a-Lula;F;12.07.2014;CH/-;8;01.01.2023;
Agata F&A of Fridericks House;F;27.02.2012;RU/RU;11;01.01.2023;
Ageria's A Rose in Heart;F;13.10.2019;NO/NO;3;01.01.2023;
Aislinn's I'm a Clich?;F;17.11.2011;NL/-;11;01.01.2023;
A-Kaz;F;09.02.1994;-/-;29;01.01.2023;
A-Kessy vom Nenana-Paradies;F;13.11.2005;DE/DE;17;01.01.2023;
A-Laung-Paya Moana2;F;29.08.1994;NL/NL;28;01.01.2023;
Albus Victoria A*Tiffani;F;;UA/UA;123;01.01.2023;
Alexia of Bobby Jack's B&B;F;;NL/BE;123;01.01.2023;
Alhamdulillah Irung E Abang;F;02.04.2021;-/GB;2;01.01.2023;
Aline A Wizard Coon;F;12.04.2003;AT/-;20;01.01.2023;
Almaz's Legacy D Catja;F;16.11.2021;SE/SE;1;01.01.2023;
Aloa's Fairy B. White;F;20.11.2003;DK/-;19;01.01.2023;
Alpha Cats Give me a Kiss;F;12.07.2017;DE/DE;5;01.01.2023;
A-Mandy of Flaming Moon;F;17.11.2008;DE/DE;14;01.01.2023;
Amazing Emily E.;F;20.09.1992;-/-;30;01.01.2023;
Amelie A La Cat;F;;AT/AT;123;01.01.2023;
Amely Berry a La Cher;F;;-/-;123;01.01.2023;
Amerrykoon Vanna A White Girl;F;16.01.2011;US/US;12;01.01.2023;
A-Monja of Brotherhood;F;27.11.2015;DE/-;7;01.01.2023;
Amy Lou A Gentle Breeze;F;13.04.2004;DE/-;19;01.01.2023;
A-Neele vom R?mertal;F;07.11.2005;DE/DE;17;01.01.2023;
Angels Afoot Miss Wool E. Bear;F;12.07.1994;-/-;28;01.01.2023;
Anghik M&M B*Sade-Aino;F;24.12.2021;RU/-;1;01.01.2023;
Angtini Molly B;F;;US/IT;123;01.01.2023;
AnnaCoonda's Bright like a Diamond;F;12.10.2022;SE/-;0;01.01.2023;
Anne Dott Sparkling like a Fire;F;14.06.2007;SE/SE;16;01.01.2023;
A-Noa Strong King;F;12.12.2020;PL/NL;2;01.01.2023;
Anyana A Piece of Luck;F;04.01.1995;DE/-;28;01.01.2023;
A-One Angel Savage;F;06.03.2020;RU/-;3;01.01.2023;
Arctic B-Brandy;F;;NO/NO;123;01.01.2023;
Aricha F&A of Fridericks House;F;;RU/RU;123;01.01.2023;
Arkancoons Is A Belle;F;15.01.2021;US/US;2;01.01.2023;
A-Shakira vom R?mertal;F;07.11.2005;DE/DE;17;01.01.2023;
Ashley A Star Coon;F;13.01.2006;AT/AT;17;01.01.2023;
Assisi Gabzi a Vinet;F;04.03.2017;CZ/CZ;6;01.01.2023;
Astrid Berry a La Cher;F;01.01.2009;-/-;14;01.01.2023;
A-Sweet Apachi von der Sandklinge;F;25.11.2009;DE/DE;13;01.01.2023;
A-Ta-Jea de Las Ayas;F;12.05.2005;FR/FR;18;01.01.2023;
Athabaske It's A Girl;F;04.03.2003;AT/SE;20;01.01.2023;
Atlantas A Kind of Magic;F;28.04.1995;SE/SE;28;01.01.2023;
AtlanticAcadia Shine A Light;F;08.08.2016;DE/DE;6;01.01.2023;
Averill Shes a Brick House;F;04.12.2013;US/US;9;01.01.2023;
Baccaracoon E*Angel;F;;CZ/PL;123;01.01.2023;
Barbara Princess A Lynx Star;F;07.10.2010;CZ/CZ;12;01.01.2023;
Baronne de Khat A Strof;F;27.07.2006;FR/FR;16;01.01.2023;
Baslatan Wish Upon A Star;F;12.07.1994;NL/FI;28;01.01.2023;
Battle Creek's A Baphomet;F;19.02.2008;DE/DE;15;01.01.2023;
Baywatch Phoebe B. of Telecoons;F;29.06.2002;US/US;21;01.01.2023;
Bearcloud Peek a Boo;F;01.03.2009;DK/DK;14;01.01.2023;
Beatrice A Lynx Star;F;12.12.2018;CZ/CZ;4;01.01.2023;
Beaverscove Josefine B;F;18.07.2007;DE/GB;15;01.01.2023;
Be-Bop-A-Lula of Crossroad;F;30.01.2019;DE/DE;4;01.01.2023;
Bedazzled A' Flaming Star;F;;NL/-;123;01.01.2023;
Belesprit's E-Santana;F;20.11.2011;DE/DE;11;01.01.2023;
Belize of Bobby Jack's B&B;F;;NL/NL;123;01.01.2023;
Belmainshacoon Emily B.;F;19.07.1995;-/-;27;01.01.2023;
Belmainshacoon Kaytee B;F;;US/US;123;01.01.2023;
Betulla Di Freya Gioele Sale e Pepe;F;09.08.2021;IT/IT;1;01.01.2023;
Betulla Di Freya Giustina Fuoco e Fiamme;F;09.08.2021;IT/IT;1;01.01.2023;
Bisou de Khat A Strof;F;27.07.2006;FR/-;16;01.01.2023;
B-La Belleza of El Dorado;F;06.06.2012;AT/AT;11;01.01.2023;
Black is Black Bebop A Lula;F;23.04.2016;IT/IT;7;01.01.2023;
BlackFog B My Sunshine;F;11.05.2013;DE/DE;10;01.01.2023;
Blanket's A-Blackcurrant Jelly;F;04.09.2015;DE/DE;7;01.01.2023;
Blanket's D-Hannelore;F;28.11.2016;DE/DE;6;01.01.2023;
Blue by You is a Showaholic;F;11.05.2011;DE/DE;12;01.01.2023;
B-Mina la Aurora;F;30.04.2023;ES/ES;0;01.01.2023;
Bonbon de Khat A Strof;F;27.07.2006;FR/-;16;01.01.2023;
Bonita of Bobby Jack's B&B;F;;NL/-;123;01.01.2023;
Bounding Maines A Rose in Winter;F;15.05.2014;US/US;9;01.01.2023;
Break a Legg Angel;F;18.11.2005;NL/NL;17;01.01.2023;
Brushykreek Wish Upon A Star;F;20.04.2023;US/US;0;01.01.2023;
Bryrhaven Suzn B Antny of Coonsboro;F;01.02.1994;US/US;29;01.01.2023;
B-Santana the Coon Oasis;F;30.01.2003;AT/DE;20;01.01.2023;
B-Wahleeah van Tschens;F;28.06.2016;DE/DE;7;01.01.2023;
Cairpre Ain' A Freya Nuthin';F;23.05.1992;-/-;31;01.01.2023;
Cairpre I Need A Miracle;F;23.05.1992;-/-;31;01.01.2023;
Callicoon Aurora B;F;;ZA/ZA;123;01.01.2023;
Cancoon Gimme A Break;F;07.07.2000;US/-;23;01.01.2023;
Cardigans Kat von D;F;03.02.2013;BR/BR;10;01.01.2023;
Catcity C. B. Boobaby;F;;-/-;123;01.01.2023;
CaterCats Ulla Kock am B.;F;04.07.2018;DE/DE;4;01.01.2023;
Catroad Kat von D;F;25.10.2011;PL/PL;11;01.01.2023;
Chenza Sydney B;F;27.12.2004;CA/CA;18;01.01.2023;
Collari-Star E-Mishel;F;;RU/RU;123;01.01.2023;
Company B Blues of Gleadom;F;13.02.1989;US/US;34;01.01.2023;
Company B Skippurr Isamaine Coon;F;29.10.1987;-/-;35;01.01.2023;
Company B Zsa Zsa of Theatricats;F;07.07.1991;-/-;32;01.01.2023;
Coogan's Rachel B.;F;15.04.2015;DK/-;8;01.01.2023;
Coonattack B-Lana Belfast P/P;F;08.06.2018;DE/DE;5;01.01.2023;
Coonattack E-M@il for You P/P;F;09.06.2019;DE/DE;4;01.01.2023;
Coonflakes B&M Catwalk Lady;F;05.08.2011;NL/NL;11;01.01.2023;
Coonini's Molly B;F;12.05.2021;NL/NL;2;01.01.2023;
Coontastic Clara B of Belmainshacoon;F;07.01.1994;US/US;29;01.01.2023;
Coontastic Molly B of Belmainshacoon;F;28.04.1993;US/US;30;01.01.2023;
Cremocrop Lucinda B of Tabbypatch;F;;US/-;123;01.01.2023;
D Boh?me des Shags of Saskatoon;F;18.05.2008;FR/-;15;01.01.2023;
D Ester of Daabeckcoon;F;31.05.2022;DK/DK;1;01.01.2023;
D Gipsy des Shags of Saskatoon;F;18.05.2008;FR/FR;15;01.01.2023;
D Jazz des Shags of Saskatoon;F;18.05.2008;FR/-;15;01.01.2023;
D Lisse Dina des Alizes Cocoon'in;F;26.10.2008;FR/-;14;01.01.2023;
D Orlane du Domaine de la Bouriane;F;17.10.2008;FR/-;14;01.01.2023;
D Tzigane des Shags of Saskatoon;F;18.05.2008;FR/-;15;01.01.2023;
D&Co Naeva;F;25.05.2023;NL/NL;0;01.01.2023;
D&P-Coons Bellina;F;05.08.2001;NL/NL;21;01.01.2023;
D&P-Coons D.Lois;F;28.04.1999;NL/NL;24;01.01.2023;
D&P-Coons Davina;F;05.08.2001;NL/GB;21;01.01.2023;
D&P-Coons Elena;F;29.08.2002;NL/CH;20;01.01.2023;
D&P-Coons Elora Danan;F;07.04.2001;NL/NL;22;01.01.2023;
D&P-Coons Eshana;F;15.03.2004;NL/-;19;01.01.2023;
D&P-Coons Gwen;F;05.09.2004;NL/-;18;01.01.2023;
D&P-Coons Sorsha;F;;NL/-;123;01.01.2023;
D&P-Coons Ziva;F;12.11.2009;NL/NL;13;01.01.2023;
D-Day d'Avel Mor;F;14.03.2006;CH/CH;17;01.01.2023;
De Boswachters Biloxi B;F;;NL/-;123;01.01.2023;
De Boswachters Liberty B;F;;NL/NL;123;01.01.2023;
De Boswachters Misty B;F;05.05.2004;NL/-;19;01.01.2023;
De Gritgravers Daisy D;F;18.03.2000;NL/-;23;01.01.2023;
De Gritgravers Dolly D;F;;NL/-;123;01.01.2023;
De Gritgravers Doortje D;F;;NL/NL;123;01.01.2023;
D-Emely von der Kleinen Hummelwiese;F;25.03.2005;DE/SE;18;01.01.2023;
D-Josephina Sherrys Talisman;F;06.02.2022;UA/DE;1;01.01.2023;
D-Magic Maine Arabella;F;14.06.1993;DE/DE;30;01.01.2023;
D-Magic Maine Arielle;F;14.06.1993;DE/DE;30;01.01.2023;
D-Meddy of Sunder Cat;F;12.12.2000;DE/DE;22;01.01.2023;
Dynamicats Double D;F;11.11.2014;NL/NL;8;01.01.2023;
E Bird de la Croix Lorraine;F;15.07.2009;FR/FR;13;01.01.2023;
E Fania des Littles Gargamel;F;29.05.2009;FR/-;14;01.01.2023;
E Leen de L'Oriflamme;F;07.09.2009;FR/FR;13;01.01.2023;
E Maha de Petite L?opoldine;F;06.08.2009;FR/-;13;01.01.2023;
E*Karina Ferra-dell;F;15.12.2021;UA/-;1;01.01.2023;
E*Matilda Nifertity;F;24.03.2010;RU/RU;13;01.01.2023;
E*Ryuyu Palmiracoon;F;02.06.2015;UA/UA;8;01.01.2023;
E*Yoko Palmiracoon;F;02.06.2015;UA/UA;8;01.01.2023;
East Avenue Kat von D.;F;23.02.2011;NL/NL;12;01.01.2023;
E-Bella Noblesse A Lynx Star;F;05.09.2022;CZ/CZ;0;01.01.2023;
E-Goodnight;F;12.06.1991;GB/GB;32;01.01.2023;
Elisabeth d. 1 Gyldenl?ve;F;15.05.2010;DK/-;13;01.01.2023;
Eliza D. of Southern Romance;F;10.07.1990;DE/DE;33;01.01.2023;
E-Mail of Wild Genesis;F;05.11.2010;DE/-;12;01.01.2023;
Escape's E-Sensual;F;06.03.2007;FI/SI;16;01.01.2023;
Euskadicoon-E Nevada;F;09.08.2004;ES/DK;18;01.01.2023;
Eva-Markiza D-Jennifer;F;03.10.2015;RU/RU;7;01.01.2023;
Fae D Jai de la Croix Lorriane;F;17.05.2010;FR/FR;13;01.01.2023;
Funny Footprint's Honey B.;F;09.09.2010;DE/DE;12;01.01.2023;
Gabbilu KTS D-Savanna;F;25.04.2022;BO/UY;1;01.01.2023;
G?rvikstassen B Akela;F;01.01.2018;SE/SE;5;01.01.2023;
G?rvikstassen B Angels;F;01.01.2018;SE/-;5;01.01.2023;
Gem E de la Vall?e de L'Ancre;F;01.09.2011;FR/FR;11;01.01.2023;
Gilvan D-Julia Roberts;F;13.05.2014;RU/RU;9;01.01.2023;
Glenncourt Lucrezia B.;F;;US/US;123;01.01.2023;
Glynnwold Gotta B Garnet of Acrith;F;21.05.1991;US/US;32;01.01.2023;
Gravelpondcoons B-Blanca Fleur;F;28.02.2012;DE/DE;11;01.01.2023;
Gueule D Amour P de Chantecoq;F;03.07.2011;FR/FR;12;01.01.2023;
Hairbearei Laurelin of Mary B;F;17.08.1988;US/US;34;01.01.2023;
Heidi Ho Lady Arwen of Mary B, DM;F;11.06.1981;US/US;42;01.01.2023;
Heidi Ho Molly B. of Tanstaafl;F;19.10.1979;US/US;43;01.01.2023;
Highlander Junie B Jones of Gaylton;F;;US/US;123;01.01.2023;
Honey Hill Kat von D Ink;F;01.11.2008;NO/SE;14;01.01.2023;
Hunkpapa's Marlene D.;F;13.01.2003;DE/DE;20;01.01.2023;
Iljoeska Cecilia B-Storm;F;10.11.2021;NL/NL;1;01.01.2023;
Ingrid B. Della Quercia;F;;IT/IT;123;01.01.2023;
Jacky D. of Blooming Meadow;F;08.11.1994;DE/DE;28;01.01.2023;
Jacqueline B. Hexe vom Hexenmoor;F;;DE/DE;123;01.01.2023;
Jamie D. Pocahontazz of Noah's Ark;F;01.01.2002;DE/DE;21;01.01.2023;
Jeuxcoons Fameux Miss E;F;04.02.2019;SE/SE;4;01.01.2023;
Jolis Lutins B. Madame Hanni;F;21.05.2023;DE/DE;0;01.01.2023;
Jolis Lutins B. Mademoiselle Nanni;F;21.05.2023;DE/DE;0;01.01.2023;
Joy van de (B)engeltjes;F;;-/-;123;01.01.2023;
Junari's Lady D. Danee;F;31.03.2023;DE/NL;0;01.01.2023;
Justcoons May B Baby;F;15.10.2015;DE/HU;7;01.01.2023;
Justcoons May B Lynn;F;01.03.2014;DE/DE;9;01.01.2023;
Kat von D of Dangerstone;F;03.10.2017;DE/DE;5;01.01.2023;
Katha's Village B-Gina;F;11.01.2013;DE/DE;10;01.01.2023;
Katmaindu Tab E Tha of Brat E Katz;F;11.02.1993;US/US;30;01.01.2023;
Katz Domaine M 8 E;F;04.07.1996;US/US;27;01.01.2023;
Kavekats Bella B;F;22.05.1995;US/US;28;01.01.2023;
King of Lion's B-Marta Hari;F;08.11.2006;DE/DE;16;01.01.2023;
King of Lion's B-Mona Lisa;F;08.11.2006;DE/NL;16;01.01.2023;
King of Lion's D-Amoura;F;07.06.2002;DE/DE;21;01.01.2023;
King of Lion's D-Destemona of the Guilty Clan;F;04.05.2003;DE/DE;20;01.01.2023;
King of Lion's D-Estell;F;;DE/DE;123;01.01.2023;
King of Lion's D-Kathy;F;;DE/DE;123;01.01.2023;
King of Lion's D-K-Bumble Bee;F;25.04.2001;DE/DE;22;01.01.2023;
King of Lion's D-Niagara;F;;DE/DE;123;01.01.2023;
King of Lion's D-Nightygaile of Cats Cradle;F;;DE/DE;123;01.01.2023;
King of Lion's D-Odessa of Battle Creek's;F;28.01.2002;DE/DE;21;01.01.2023;
King of Lion's E-Chiara;F;;DE/-;123;01.01.2023;
KinSayuri B. Ella Trix Lestrange;F;21.09.2020;DE/LU;2;01.01.2023;
Kiricoon E-Luna;F;;FR/FR;123;01.01.2023;
Lachtetals B-Cassiopaya;F;;DE/DE;123;01.01.2023;
Lachtetals B-Priscilla;F;;DE/DE;123;01.01.2023;
Lachtetals B-Toffifee;F;;DE/DE;123;01.01.2023;
Lachtetals B-Vanilla Sky;F;02.02.2006;DE/DE;17;01.01.2023;
Langstteich's D-Keetara;F;18.11.1996;DE/DE;26;01.01.2023;
Langstteich's F'Cortina D' Ampezzo;F;08.12.2015;DE/NO;7;01.01.2023;
Langstteich's Shalimar II of Brooklet Sea+D;F;10.06.1993;DE/DE;30;01.01.2023;
Las Arenas E Koiki;F;14.10.2017;ES/CZ;5;01.01.2023;
Le Beau Minu Preciouss of Mary B;F;15.10.1977;US/US;45;01.01.2023;
Leaena Tutto E Subito;F;01.04.2012;IT/IT;11;01.01.2023;
LeatherAndLace Sheila E;F;19.02.2016;NL/NL;7;01.01.2023;
Lindevoll's E-Liluye;F;07.05.2015;NO/-;8;01.01.2023;
Louhichi's E Voila-Je Suis La;F;04.01.2012;DE/DE;11;01.01.2023;
L'Vulga B&T of Fridericks House;F;;RU/RU;123;01.01.2023;
Lyb-E Acepella;F;01.05.1977;-/-;46;01.01.2023;
Lyb-E Christa's Acapella;F;01.05.1977;-/-;46;01.01.2023;
Lyb-E Christa's Brown Sugar;F;01.05.1977;-/-;46;01.01.2023;
Lyb-E Christa's Katy;F;16.07.1974;-/-;48;01.01.2023;
Lyb-E Harriet of Hanmor;F;03.04.1978;US/-;45;01.01.2023;
Lyb-E Katrinka II;F;04.06.1981;-/-;42;01.01.2023;
Lyb-E Miss Blue;F;02.09.1975;-/-;47;01.01.2023;
