name;sex;Birthday;Country;age;today;dd
Lyb-E Natasha II;F;;-/-;123;01.01.2023;
Lyb-E Spice O'Live;F;01.05.1977;-/-;46;01.01.2023;
Lyb-E Suzy Q of Magnificoon;F;23.07.1973;-/-;49;01.01.2023;
Mafian King's E*Honda;F;;UA/RU;123;01.01.2023;
Mafian King's E*Savannah;F;;UA/UA;123;01.01.2023;
MagdeburgTigers Kat Van D;F;18.07.2011;DE/DE;11;01.01.2023;
Magical Tails B&J Joy to the Swirled;F;23.07.2020;NL/NL;2;01.01.2023;
Maineflashes Bonnie B. of Amerrykoon;F;05.04.1995;US/-;28;01.01.2023;
Mainewood E*High Water;F;23.03.2010;RU/RU;13;01.01.2023;
Mary B Ardzat of Hairbearei;F;20.10.1985;US/US;37;01.01.2023;
Mary B Babycakes;F;13.02.1990;US/US;33;01.01.2023;
Mary B Bonnie Blue of Charmalot;F;06.01.1983;-/-;40;01.01.2023;
Mary B Carson McCullers of Tomeran;F;;-/-;123;01.01.2023;
Mary B Celebrindal;F;;-/-;123;01.01.2023;
Mary B Elwing-The-White;F;14.02.1980;-/-;43;01.01.2023;
Mary B Galadriel;F;06.01.1983;-/-;40;01.01.2023;
Mary B Heathertoes;F;06.01.1983;US/US;40;01.01.2023;
Mary B Hopi Dancer;F;;US/US;123;01.01.2023;
Mary B Lady Azure of Marala;F;02.04.1985;US/US;38;01.01.2023;
Mary B Lady B Good of Cheeptrills;F;18.04.1987;-/-;36;01.01.2023;
Mary B Lady Evenstar;F;07.02.1988;-/-;35;01.01.2023;
Mary B Lady Shenendoah;F;01.11.1988;US/-;34;01.01.2023;
Mary B Lil Astrid of Cooneyisle;F;02.10.1989;-/-;33;01.01.2023;
Mary B Lillie Lightfoot;F;11.03.1979;US/-;44;01.01.2023;
Mary B Milo Olo;F;;US/US;123;01.01.2023;
Mary B Misha;F;20.03.1980;-/-;43;01.01.2023;
Mary B Miss Melilot of Tolkat;F;01.01.1988;-/-;35;01.01.2023;
Mary B Miss Vickie of Wiscasset;F;;-/-;123;01.01.2023;
Mary B Rose Gamgee of Talshipp;F;23.06.1990;US/US;33;01.01.2023;
Mary B Rosie Cotton;F;14.05.1980;-/-;43;01.01.2023;
Mary B Sahoni of Tansai;F;23.04.1985;US/-;38;01.01.2023;
Mary B Uno of Stardust;F;16.03.1982;-/-;41;01.01.2023;
Mary B Winter Snow of Boothbay;F;06.01.1983;US/US;40;01.01.2023;
Mary B Zarzamora of Emlu;F;14.05.1980;US/US;43;01.01.2023;
Masteast Sheila E of McKittycreek;F;19.09.1989;US/US;33;01.01.2023;
McInkats Jennifer B of Redwood;F;14.10.1988;US/-;34;01.01.2023;
Meant-To-Be Miranda B. of Tayaway;F;04.03.1994;US/US;29;01.01.2023;
Mel B. Child of Maine;F;17.05.1998;NL/-;25;01.01.2023;
Midnight R'Vieni e Baciami;F;04.04.2020;FR/FR;3;01.01.2023;
Miss D. vom Weidebusch;F;21.05.2001;DE/DE;22;01.01.2023;
Miss Laura d. of Cattitudes;F;;NL/NL;123;01.01.2023;
Miss Minette of Bobby Jack's B&B;F;;NL/-;123;01.01.2023;
Molly B. of Chamberlain;F;02.11.2007;DE/DE;15;01.01.2023;
Mystic Woods Kat Von D;F;13.06.2011;NO/NO;12;01.01.2023;
Napa Valley Molly B of Britches;F;;US/US;123;01.01.2023;
Nevada B&C of Fridericks House;F;31.08.2013;RU/RU;9;01.01.2023;
NomenEst U Must B Crazy;F;27.09.2010;FI/FI;12;01.01.2023;
P'Afina G'D&D of Fridericks House;F;26.10.2014;RU/RU;8;01.01.2023;
Peatfire B-Honey;F;;DE/DE;123;01.01.2023;
Perfect Cat R-N-B;F;21.04.2011;UA/RU;12;01.01.2023;
Pirateslair Sailors B Warned of McKimmey;F;26.03.2002;US/US;21;01.01.2023;
Poisson D Avril du Domaine de la Bouriane;F;01.04.2019;FR/FR;4;01.01.2023;
PreciousBlue's Zitti E Buoni;F;08.01.2022;SE/SE;1;01.01.2023;
Primeacat Honey B. of Coon-Fetti;F;23.04.1992;CA/US;31;01.01.2023;
Prince of Maine Mel B;F;04.12.2006;IT/IT;16;01.01.2023;
Pussytoes Susan B. Anthony Jones;F;;US/US;123;01.01.2023;
Queen B d'Epicoeur;F;25.05.2019;FR/-;4;01.01.2023;
Queen B USA Quinn of Wiseguy;F;14.04.2023;US/US;0;01.01.2023;
Rascal Panda B;F;;AU/AU;123;01.01.2023;
Rhea d' Hano?;F;26.05.2020;FR/-;3;01.01.2023;
Rokote Alpha B. Capricious;F;07.04.1979;US/-;44;01.01.2023;
Romy d' Hano?;F;26.05.2020;FR/-;3;01.01.2023;
Rosecitycoon First Choice Maroussha of Bende van B;F;12.08.2003;NL/NL;19;01.01.2023;
Roxolana B&BN of Fridericks House;F;27.10.2013;RU/RU;9;01.01.2023;
Royal Raccoon's Queen B;F;08.07.2016;NO/NO;6;01.01.2023;
SaintClouds Molly B of Seascape;F;27.02.1992;US/US;31;01.01.2023;
Sandari Fifth Fine E*Sherry;F;31.05.2015;UA/UA;8;01.01.2023;
SaraJen Moxie R B;F;07.03.2008;US/US;15;01.01.2023;
Serenata Diurna de Baracoa-E;F;21.04.2019;ES/US;4;01.01.2023;
Shana l'?toile d 'Aslan;F;28.07.2021;FR/FR;1;01.01.2023;
Sheercats Alice-D;F;24.04.2012;NL/FI;11;01.01.2023;
ShenCat D-Holly;F;;RU/RU;123;01.01.2023;
Shubhada Guelle D Amor;F;15.10.2011;FR/FR;11;01.01.2023;
Skysupernova E la Luna Busso;F;28.05.2019;IT/NL;4;01.01.2023;
Sonata Primavera de Baracoa-E;F;21.04.2019;ES/US;4;01.01.2023;
Squabby Xenia B. Panter;F;09.08.1996;IT/-;26;01.01.2023;
ST*Olympus Pride D*Kitana;F;02.06.2022;UA/PL;1;01.01.2023;
StarArk E-Kaira;F;26.11.2015;RU/-;7;01.01.2023;
Stone Town D Mona Lisa;F;15.05.2008;FR/-;15;01.01.2023;
StoneOcean E-Fania;F;22.11.2006;DE/DE;16;01.01.2023;
Suncoon Raven D of X-Maine;F;28.06.2016;US/US;7;01.01.2023;
Syracoon Taffy B Girl of Classycoon;F;18.10.1990;US/US;32;01.01.2023;
Tabbyshack Miss Molly B;F;;-/-;123;01.01.2023;
Tabbyshack Princess D;F;22.05.1996;US/US;27;01.01.2023;
Taraknoll Charlotte E. B. White;F;31.03.1991;-/-;32;01.01.2023;
Taraknoll Charlotte E. B. White;F;31.03.1991;-/-;32;01.01.2023;
Tartaruga's Lucy B;F;18.02.2021;SE/-;2;01.01.2023;
Tenfold Sheila E.;F;22.09.2006;NL/NL;16;01.01.2023;
Terrificats Cin-D of Idlemaine;F;15.05.1992;US/-;31;01.01.2023;
Terrificats Johna B Good of Mainere;F;20.12.1990;US/US;32;01.01.2023;
Texas Belle E Button of Coondavi;F;;US/-;123;01.01.2023;
The Cat Spa Aurora B. of Luvdalot;F;09.08.1999;-/-;23;01.01.2023;
The Haecoon 2nd B & J's Double Trouble;F;08.11.2016;NL/NL;6;01.01.2023;
The Sympathycats Suzannah-B;F;17.11.1993;NL/-;29;01.01.2023;
Tigracoon E*Germiona;F;08.11.2020;-/-;2;01.01.2023;
Tippy Wanna B Brumilla;F;16.04.2020;DK/SE;3;01.01.2023;
Tippy Wanna B Gosiga Greta;F;04.08.2020;DK/SE;2;01.01.2023;
Tippy Wanna B Poker Face;F;29.11.2020;DK/SE;2;01.01.2023;
Topa Reveille of Company B;F;07.05.1985;US/-;38;01.01.2023;
Tri-D Afina;F;21.12.2017;RU/RU;5;01.01.2023;
Tri-D Agata;F;12.12.2018;RU/FR;4;01.01.2023;
Tri-D Alexa;F;21.12.2017;RU/UA;5;01.01.2023;
Tri-D Amanda;F;02.04.2021;RU/-;2;01.01.2023;
Tri-D Amazonka;F;04.08.2019;RU/-;3;01.01.2023;
Tri-D Barsa;F;08.02.2017;RU/-;6;01.01.2023;
Tri-D Bohemia;F;21.12.2018;RU/RU;4;01.01.2023;
Tri-D Carmen;F;09.05.2015;RU/RU;8;01.01.2023;
Tri-D Carmen;F;15.10.2019;RU/RU;3;01.01.2023;
Tri-D Celeste;F;09.01.2018;RU/US;5;01.01.2023;
Tri-D Chloe;F;11.02.2017;RU/RU;6;01.01.2023;
Tri-D Cuba Libre;F;09.01.2018;RU/NL;5;01.01.2023;
Tri-D Elfa;F;05.11.2019;RU/-;3;01.01.2023;
Tri-D Elise;F;05.11.2019;RU/-;3;01.01.2023;
Tri-D Emilia;F;28.02.2017;RU/RU;6;01.01.2023;
Tri-D Enigma;F;10.06.2015;RU/RU;8;01.01.2023;
Tri-D Faya;F;09.11.2019;RU/CH;3;01.01.2023;
Tri-D Fiji;F;09.11.2019;RU/-;3;01.01.2023;
Tri-D Fishka;F;09.11.2019;RU/-;3;01.01.2023;
Tri-D Flower;F;09.11.2019;RU/FR;3;01.01.2023;
Tri-D Francesca;F;27.01.2018;RU/RU;5;01.01.2023;
Tri-D Gaia;F;25.01.2018;RU/-;5;01.01.2023;
Tri-D Galaxy;F;03.07.2015;RU/FR;8;01.01.2023;
Tri-D Galaxy;F;25.01.2018;RU/US;5;01.01.2023;
Tri-D Graffiti;F;28.02.2017;RU/BE;6;01.01.2023;
Tri-D Greta;F;12.11.2019;RU/FR;3;01.01.2023;
Tri-D Happiness;F;14.02.2014;RU/RU;9;01.01.2023;
Tri-D Happy Star;F;28.01.2018;RU/RU;5;01.01.2023;
Tri-D Harizma;F;28.03.2017;RU/CN;6;01.01.2023;
Tri-D Harmony;F;19.11.2019;RU/RU;3;01.01.2023;
Tri-D Helen;F;19.11.2019;RU/-;3;01.01.2023;
Tri-D Holly;F;;RU/DE;123;01.01.2023;
Tri-D Ibiza;F;04.04.2017;RU/RU;6;01.01.2023;
Tri-D Ilona;F;22.11.2019;RU/US;3;01.01.2023;
Tri-D Imperium;F;16.11.2015;RU/-;7;01.01.2023;
Tri-D Impression;F;03.10.2020;RU/FR;2;01.01.2023;
Tri-D Iren;F;28.02.2019;RU/DE;4;01.01.2023;
Tri-D Isabel;F;22.11.2019;RU/-;3;01.01.2023;
Tri-D Izabella;F;04.04.2017;RU/RU;6;01.01.2023;
Tri-D Jack Pot;F;20.03.2014;RU/RU;9;01.01.2023;
Tri-D Janet;F;18.12.2015;RU/RU;7;01.01.2023;
Tri-D Jessi;F;27.11.2019;RU/RU;3;01.01.2023;
Tri-D Jessica;F;28.02.2019;RU/RU;4;01.01.2023;
Tri-D Jessy White Star;F;20.03.2014;RU/RU;9;01.01.2023;
Tri-D Jolie;F;09.10.2020;RU/CZ;2;01.01.2023;
Tri-D Judy;F;28.02.2019;RU/RU;4;01.01.2023;
Tri-D Juliet;F;09.10.2020;RU/DE;2;01.01.2023;
Tri-D Kamila;F;01.12.2019;RU/RU;3;01.01.2023;
Tri-D Kiana;F;07.03.2019;RU/-;4;01.01.2023;
Tri-D Kika;F;07.03.2019;RU/FR;4;01.01.2023;
Tri-D Kiwi;F;01.12.2019;RU/RU;3;01.01.2023;
Tri-D Kristen;F;01.12.2019;RU/FR;3;01.01.2023;
Tri-D Ksenya;F;01.12.2019;RU/US;3;01.01.2023;
Tri-D Lady Bagira;F;12.12.2012;RU/RU;10;01.01.2023;
Tri-D Lana;F;17.04.2018;RU/RU;5;01.01.2023;
Tri-D Laura;F;12.05.2014;RU/RU;9;01.01.2023;
Tri-D Lavanda;F;07.12.2019;RU/RU;3;01.01.2023;
Tri-D Lesya;F;11.07.2017;RU/-;5;01.01.2023;
Tri-D Lexy;F;21.02.2016;RU/RU;7;01.01.2023;
Tri-D Lika;F;21.03.2019;RU/-;4;01.01.2023;
Tri-D Lucia;F;17.04.2018;RU/RU;5;01.01.2023;
Tri-D Luiza;F;12.12.2012;RU/RU;10;01.01.2023;
Tri-D Luiziana;F;12.12.2012;RU/RU;10;01.01.2023;
Tri-D Madeleine;F;24.04.2018;RU/RU;5;01.01.2023;
Tri-D Madonna;F;24.04.2018;RU/RU;5;01.01.2023;
Tri-D Malika of Caesarheadcoon;F;16.06.2014;RU/US;9;01.01.2023;
Tri-D Margo;F;16.06.2014;RU/RU;9;01.01.2023;
Tri-D Mersedes;F;16.06.2014;RU/CH;9;01.01.2023;
Tri-D Michelle;F;17.07.2017;RU/RU;5;01.01.2023;
Tri-D Mirabelle;F;02.02.2020;RU/RU;3;01.01.2023;
Tri-D Naomi;F;25.02.2020;RU/RU;3;01.01.2023;
Tri-D Naomi Cempbella;F;06.07.2014;RU/RU;8;01.01.2023;
Tri-D Nicole;F;18.03.2016;RU/RU;7;01.01.2023;
Tri-D Nina Ricci;F;06.07.2014;RU/RU;8;01.01.2023;
Tri-D Olivia;F;25.08.2014;RU/BE;8;01.01.2023;
Tri-D Omega;F;20.03.2016;RU/RU;7;01.01.2023;
Tri-D Ora;F;19.05.2018;RU/-;5;01.01.2023;
Tri-D Persia;F;26.03.2019;RU/-;4;01.01.2023;
Tri-D Prada;F;14.09.2014;RU/RU;8;01.01.2023;
Tri-D Princess;F;20.12.2020;RU/FR;2;01.01.2023;
Tri-D Rachelle;F;22.07.2016;RU/-;6;01.01.2023;
Tri-D Roxy;F;22.07.2016;RU/RU;6;01.01.2023;
Tri-D Rumba;F;19.09.2014;RU/RU;8;01.01.2023;
Tri-D Sangria;F;05.04.2020;RU/-;3;01.01.2023;
Tri-D Sharline;F;23.10.2017;RU/-;5;01.01.2023;
Tri-D Simona;F;05.04.2020;RU/US;3;01.01.2023;
Tri-D Squirrel;F;05.04.2020;RU/-;3;01.01.2023;
Tri-D Tais Afinskaya;F;27.11.2014;RU/RU;8;01.01.2023;
Tri-D Tequila Sunrise PP;F;11.09.2016;RU/RU;6;01.01.2023;
Tri-D Tiger Touch;F;07.07.2018;RU/DE;4;01.01.2023;
Tri-D Tigra;F;04.06.2013;RU/RU;10;01.01.2023;
Tri-D Tina;F;26.12.2020;RU/PL;2;01.01.2023;
Tri-D Tiramisu;F;11.08.2016;RU/ES;6;01.01.2023;
Tri-D Uma;F;09.09.2016;RU/RU;6;01.01.2023;
Tri-D Uma;F;28.12.2014;RU/RU;8;01.01.2023;
Tri-D Undina;F;09.09.2016;RU/-;6;01.01.2023;
Tri-D Unica;F;09.01.2021;RU/RU;2;01.01.2023;
Tri-D Vanilla;F;16.09.2016;RU/RU;6;01.01.2023;
Tri-D Vasilisa;F;01.07.2020;RU/RU;3;01.01.2023;
Tri-D Vera;F;17.01.2021;RU/CZ;2;01.01.2023;
Tri-D Vivien;F;;RU/PL;123;01.01.2023;
Tri-D Wee-Wee;F;12.02.2021;RU/CH;2;01.01.2023;
Tri-D Whisky;F;27.09.2016;RU/RU;6;01.01.2023;
Tri-D Whitney;F;27.09.2016;RU/IT;6;01.01.2023;
Tri-D Wicca;F;21.07.2019;RU/HU;3;01.01.2023;
Tri-D Xana;F;16.10.2016;RU/RU;6;01.01.2023;
Tri-D Xsy-Xsy;F;01.12.2017;RU/RU;5;01.01.2023;
Tri-D Yamaha;F;04.11.2018;RU/-;4;01.01.2023;
Tri-D Yovela;F;20.03.2021;RU/RU;2;01.01.2023;
Tri-D Zima;F;04.08.2019;RU/-;3;01.01.2023;
Tri-D Zimba;F;11.12.2017;RU/-;5;01.01.2023;
Tri-D Zlata;F;;RU/RU;123;01.01.2023;
Tri-D Znata;F;04.11.2018;RU/RU;4;01.01.2023;
Tri-D Zula;F;11.12.2017;RU/FR;5;01.01.2023;
Triunfo Kat Von D;F;29.01.2018;BR/BR;5;01.01.2023;
Ukiyo E de Gryffondor;F;18.06.2003;FR/-;20;01.01.2023;
Vanille d Esteban;F;23.11.2004;FR/-;18;01.01.2023;
Veni d Esteban;F;23.11.2004;FR/-;18;01.01.2023;
Vetchanenka Narya of Mary B;F;02.07.1978;US/US;45;01.01.2023;
Vicky d Esteban;F;23.11.2004;FR/FR;18;01.01.2023;
Wackymoon D. Va PP;F;;DK/DK;123;01.01.2023;
Wall E vom Steinfeld;F;13.04.2009;DE/DE;14;01.01.2023;
Watch Out B-Main Zo?;F;28.06.1997;-/-;26;01.01.2023;
Watch Out B-Maine Tueschi;F;28.06.1997;-/-;26;01.01.2023;
Whales Back Lizzie B of Mill Creeks;F;12.04.1990;US/US;33;01.01.2023;
Whittemore Mandy of Mary B;F;;US/-;123;01.01.2023;
Wild Harmony Marlene D;F;;DE/DE;123;01.01.2023;
Willowplace Katsuko of Company B;F;23.09.1986;US/US;36;01.01.2023;
Y1Kat Y Don't U B True;F;26.10.2004;US/-;18;01.01.2023;
5800 Dreams Sealed With A Kiss;M;11.10.1994;US/-;28;01.01.2023;
A Baltazar Domaine de la Bouriane;M;07.02.2005;FR/-;18;01.01.2023;
A bigger Splash the Purrfect Coon;M;28.11.2012;AT/NO;10;01.01.2023;
A Bold Approach Gyldenl?ve;M;17.10.2007;DK/DK;15;01.01.2023;
A Capella von der Elfenbr?cke;M;27.06.2009;DE/DE;14;01.01.2023;
A Cat's Delight of Bedford Falls;M;30.08.1998;DE/-;24;01.01.2023;
A Chamane du Matou Doux;M;20.10.2005;FR/FR;17;01.01.2023;
A Chester of Daabeckcoon;M;30.06.2022;DK/DK;1;01.01.2023;
A Cunning Plan Gyldenl?ve;M;17.10.2007;DK/DK;15;01.01.2023;
A Dark Night of Merlins Cave;M;21.04.2008;AT/AT;15;01.01.2023;
A Davina El Nino;M;05.05.2009;AT/AT;14;01.01.2023;
A de Petite L?opoldine;M;18.06.2005;FR/FR;18;01.01.2023;
A Eli Barnabas;M;29.02.1996;AT/AT;27;01.01.2023;
A Famous Alexander Nevermind;M;;-/-;123;01.01.2023;
A Famous Cutty Shark;M;;-/-;123;01.01.2023;
A Famous Lucky Strike;M;;-/-;123;01.01.2023;
A Favorite Cat Calafati;M;;AT/AT;123;01.01.2023;
A Favorite Cat Hemingway;M;22.01.1998;-/AT;25;01.01.2023;
A Highlander Coon Herakles;M;04.07.2009;AT/-;14;01.01.2023;
A Little Chip of Highland;M;13.12.1998;-/-;24;01.01.2023;
A Mac Omelly Sir-Archibald;M;;-/-;123;01.01.2023;
A Malfi von der Elfenbr?cke;M;27.06.2009;DE/DE;14;01.01.2023;
A Modo Mio Fidelity Feline;M;15.06.2013;CZ/DE;10;01.01.2023;
A Nice Moon Aldebaran;M;16.06.2006;NL/NL;17;01.01.2023;
A Nice Moon Bleu Moon;M;31.08.2004;NL/NL;18;01.01.2023;
A Nice Moon Dabih;M;17.12.2009;NL/NL;13;01.01.2023;
A Nice Moon Dubhe;M;25.03.2005;NL/NL;18;01.01.2023;
A Nice Moon Eldsich;M;31.08.2004;NL/NL;18;01.01.2023;
A Nice Moon Enif;M;11.02.2007;NL/NL;16;01.01.2023;
A Nice Moon Furud;M;17.12.2009;NL/NL;13;01.01.2023;
A Nice Moon Hamal;M;25.03.2005;NL/NL;18;01.01.2023;
A Nice Moon Izar;M;11.02.2007;NL/NL;16;01.01.2023;
A Nice Moon Jabbah;M;11.02.2007;NL/NL;16;01.01.2023;
A Nice Moon Kuma;M;10.04.2010;NL/NL;13;01.01.2023;
A Nice Moon Marfik;M;17.12.2009;NL/NL;13;01.01.2023;
A Nice Moon Mirfak;M;17.12.2009;NL/NL;13;01.01.2023;
A Nice Moon Muphrid;M;11.02.2007;NL/NL;16;01.01.2023;
A Nice Moon Naos;M;11.02.2007;NL/NL;16;01.01.2023;
A Nice Moon Narvi;M;10.04.2010;NL/NL;13;01.01.2023;
A Nice Moon Nihal;M;17.12.2009;NL/NL;13;01.01.2023;
A Nice Moon Proteus;M;28.03.2005;NL/NL;18;01.01.2023;
A Nice Moon Quasar;M;31.08.2004;NL/FI;18;01.01.2023;
A Nice Moon Rasalas;M;05.02.2007;NL/NL;16;01.01.2023;
A Nice Moon Rastaban;M;17.12.2009;NL/NL;13;01.01.2023;
A Nice Moon Rigel;M;16.06.2006;NL/NL;17;01.01.2023;
A Nice Moon Rongo;M;13.03.2008;NL/NL;15;01.01.2023;
A Nice Moon Sham;M;16.06.2006;NL/NL;17;01.01.2023;
A Nice Moon Skat;M;17.12.2009;NL/NL;13;01.01.2023;
A Nice Moon Tariq;M;06.03.2008;NL/NL;15;01.01.2023;
A Nice Moon Tawera;M;06.03.2008;NL/NL;15;01.01.2023;
A Nice Moon Thuban;M;16.06.2006;NL/NL;17;01.01.2023;
A Nice Moon Triton;M;28.03.2005;NL/NL;18;01.01.2023;
A Nice Moon Zaurak;M;11.02.2007;NL/NL;16;01.01.2023;
A Nome Di Carpe diem;M;17.10.2004;NL/NL;18;01.01.2023;
A Nome Di Jabberwock;M;19.04.2006;NL/NL;17;01.01.2023;
A Nome Di Settore;M;17.10.2004;NL/NL;18;01.01.2023;
A Nome Di Spirit of Life;M;17.10.2004;NL/NL;18;01.01.2023;
A Que Coucou de Saint Paul;M;05.04.2005;FR/-;18;01.01.2023;
A Rebel Rouser Dion The Wanderer;M;03.10.1995;-/-;27;01.01.2023;
A Red Mistery of Shaggy Coons;M;16.09.2009;LU/-;13;01.01.2023;
A Red Passion of Shaggy Coons;M;16.09.2009;LU/-;13;01.01.2023;
A Red Temptation of Shaggy Coons;M;16.09.2009;LU/CH;13;01.01.2023;
A Serious Mind Gyldenl?ve;M;17.10.2007;DK/DK;15;01.01.2023;
A Star is Born Snowcoon Smirnov;M;21.12.2007;NL/CH;15;01.01.2023;
A Telev of Asgard Koon;M;03.02.2016;US/US;7;01.01.2023;
A True Prince vom Burgzauber;M;17.05.2012;DE/DE;11;01.01.2023;
A. Fuggy of W?hat Es-Lima;M;;-/-;123;01.01.2023;
A-Adam of Tiyoweh Coons;M;14.04.2004;AT/DE;19;01.01.2023;
ABCcats Quanah Parker A Comanche;M;17.02.1990;US/US;33;01.01.2023;
Abizag B. Panda Express;M;07.03.2009;US/-;14;01.01.2023;
Abizaq B. Line of Jaspurrcats;M;12.02.2008;US/-;15;01.01.2023;
Abizaq B. Pandarama of Zikhafri;M;07.03.2009;US/MY;14;01.01.2023;
Abizaq B. Valentino of Agavecoon;M;12.02.2008;US/-;15;01.01.2023;
Abristine A Touch of Class;M;03.05.1990;US/US;33;01.01.2023;
Action Cat's A Big Boss;M;12.12.2018;AT/AT;4;01.01.2023;
Action Cat's A Big Casanova;M;12.12.2018;AT/AT;4;01.01.2023;
Action Cat's A Big Manitu;M;27.08.2010;AT/AT;12;01.01.2023;
Action Cat's A Captain Ice;M;05.03.2019;AT/AT;4;01.01.2023;
Action Cat's A Caruso;M;04.01.2011;AT/AT;12;01.01.2023;
Action Cat's A Danville;M;11.02.2011;AT/AT;12;01.01.2023;
Action Cat's A Eagle Rock;M;10.10.2004;AT/AT;18;01.01.2023;
Action Cat's A Findus;M;17.10.2019;AT/-;3;01.01.2023;
Action Cat's A Francis;M;17.10.2019;AT/AT;3;01.01.2023;
Action Cat's A Goliath;M;26.04.2005;AT/AT;18;01.01.2023;
Action Cat's A Good Loverboy;M;18.07.2011;AT/AT;11;01.01.2023;
Action Cat's A Grand Iceman;M;18.07.2011;AT/AT;11;01.01.2023;
Action Cat's A Heartbreaker;M;23.12.2011;AT/AT;11;01.01.2023;
Action Cat's A Heisenberg;M;20.04.2020;AT/AT;3;01.01.2023;
Action Cat's A His Highness Avalon;M;20.04.2020;AT/AT;3;01.01.2023;
Action Cat's A Hot Iceman;M;20.04.2020;AT/-;3;01.01.2023;
Action Cat's A Hot Silver Lion;M;20.04.2020;AT/AT;3;01.01.2023;
Action Cat's A Hugo Boss;M;23.12.2011;AT/-;11;01.01.2023;
Action Cat's A Indiana Jones;M;25.05.2012;AT/AT;11;01.01.2023;
Action Cat's A Kentucky;M;23.02.2013;AT/AT;10;01.01.2023;
Action Cat's A Mr. Coolman;M;23.11.2013;AT/AT;9;01.01.2023;
Action Cat's A Neptun;M;24.01.2007;AT/-;16;01.01.2023;
Action Cat's A Odysseus;M;26.08.2007;AT/AT;15;01.01.2023;
Action Cat's A Rasputin;M;16.09.2015;AT/AT;7;01.01.2023;
Action Cat's A Sansibar;M;22.02.2016;AT/AT;7;01.01.2023;
Action Cat's A Wolfman;M;14.06.2017;AT/AT;6;01.01.2023;
Action Cat's A Yankee-Boy;M;03.01.2010;AT/AT;13;01.01.2023;
Action Cat's A Young Picasso;M;30.12.2017;AT/AT;5;01.01.2023;
Akella Leader Quite a Hero;M;22.05.2018;RU/-;5;01.01.2023;
A-Laung-Paya Aran II;M;10.08.1997;NL/NL;25;01.01.2023;
Alberlee Prince Albert In A Coon;M;05.08.1996;US/US;26;01.01.2023;
A'LCalin de Khat A Strof;M;;FR/FR;123;01.01.2023;
Allmykittens Trevor D of Francoonia;M;06.05.1991;US/US;32;01.01.2023;
Alsciaukat D Zephyr;M;;FR/FR;123;01.01.2023;
Amerrykoon Raymond A Silver;M;;US/US;123;01.01.2023;
Angel Spirit Hard as A Rock;M;02.05.2010;SE/SE;13;01.01.2023;
AngelCoon Harley D;M;;US/US;123;01.01.2023;
Angelsongz You Might Be A Redneck;M;20.04.1996;-/-;27;01.01.2023;
Arakun I-Am-A-DJ;M;;-/-;123;01.01.2023;
Arctic A-Lucky Luke;M;02.05.1999;NO/NO;24;01.01.2023;
Arkatz Ted E. Katt of Almajoy;M;02.09.1993;US/US;29;01.01.2023;
Arkatz Tom E Katt;M;02.09.1993;-/-;29;01.01.2023;
Atlascat J&B;M;;CH/CH;123;01.01.2023;
Atos Smallynx a Fairy Tale;M;;UA/UA;123;01.01.2023;
Attree Manor Just A Fox;M;06.12.2006;DE/DE;16;01.01.2023;
Baccheoni's Hard as a Rock;M;;SE/-;123;01.01.2023;
Bambi Lion Gabzi a Vinet;M;22.06.2017;CZ/CZ;6;01.01.2023;
Bandit A Gentle Breeze;M;10.02.2007;DE/DE;16;01.01.2023;
Bang a Boomerang the Purrfect Coon;M;11.02.2013;AT/DE;10;01.01.2023;
Bearcloud Take A Bow;M;06.03.2010;DK/DK;13;01.01.2023;
Beau You May Be A Redneck;M;28.08.1995;US/-;27;01.01.2023;
Beautiful Prince A Friend of Maine;M;06.12.2003;AT/AT;19;01.01.2023;
Beiryhil B J Hunicutt;M;13.09.1993;-/-;29;01.01.2023;
